Code,시도,Y1980,Y2000,Y2020,Y2040
16,서울특별시,2.5 ,5.3 ,15.4 ,32.4 
1,부산광역시,2.3 ,6.1 ,18.7 ,37.1 
4,대구광역시,2.7 ,5.9 ,16.0 ,35.5 
11,인천광역시,2.9 ,5.5 ,13.4 ,33.0 
7,광주광역시,3.1 ,5.5 ,13.7 ,31.9 
5,대전광역시,3.0 ,5.4 ,13.7 ,32.0 
17,울산광역시,2.9 ,4.0 ,12.0 ,32.6 
15,세종특별자치시,,,9.3 ,22.4 
8,경기도,3.7 ,5.7 ,12.7 ,30.6 
6,강원도,4.2 ,9.8 ,20.0 ,40.5 
2,충청북도,5.2 ,9.6 ,17.0 ,35.9 
3,충청남도,5.5 ,11.9 ,17.7 ,34.9 
13,전라북도,4.8 ,11.1 ,20.6 ,39.4 
14,전라남도,5.5 ,13.4 ,23.1 ,42.0 
9,경상북도,5.5 ,11.4 ,20.7 ,40.8 
10,경상남도,4.8 ,8.9 ,16.5 ,36.5 
12,제주특별자치도,5.1 ,8.2 ,15.1 ,31.5 
