gdp,gdpsa
12807.5 ,14934.6 
15732.5 ,15246.5 
14621.6 ,15472.1 
18689.5 ,16198.0 
14512.5 ,16664.4 
17709.4 ,17180.3 
16581.4 ,17302.9 
19505.8 ,17161.4 
15201.4 ,17514.1 
18494.0 ,17993.8 
17513.2 ,18265.1 
21548.0 ,18983.7 
17106.3 ,19773.9 
20962.6 ,20496.4 
20699.4 ,21439.5 
24747.3 ,21805.7 
19744.5 ,22861.7 
23212.8 ,22660.9 
22259.7 ,22910.5 
26133.9 ,22917.9 
20079.0 ,23543.5 
24620.5 ,24188.6 
23905.5 ,24745.8 
29448.7 ,25575.7 
22562.2 ,26706.1 
28249.5 ,27777.6 
27286.6 ,28267.0 
33149.2 ,28496.7 
24563.0 ,28848.6 
30610.1 ,30225.4 
30789.5 ,31959.6 
38431.8 ,33360.8 
28152.0 ,32924.8 
34577.5 ,33914.9 
33485.4 ,34295.5 
40989.2 ,36068.7 
32136.0 ,37533.5 
38298.1 ,37726.2 
36100.2 ,36778.7 
42180.7 ,36676.7 
32037.2 ,36676.0 
36890.5 ,36247.7 
36847.6 ,36864.7 
40127.9 ,36114.7 
33053.0 ,37288.2 
38870.9 ,38720.1 
39610.6 ,39706.9 
45171.5 ,40990.7 
36244.5 ,40980.7 
41747.3 ,41730.2 
43033.6 ,42671.9 
48673.5 ,44316.1 
40695.1 ,45538.1 
46982.1 ,46997.8 
49267.7 ,48632.4 
53426.8 ,49203.5 
46324.4 ,51111.0 
52139.6 ,52017.0 
53715.5 ,52870.2 
56961.1 ,53142.5 
49372.0 ,54439.0 
55426.0 ,55600.3 
57468.1 ,56416.3 
62499.3 ,58309.9 
54332.1 ,59663.6 
61680.0 ,62051.3 
65980.5 ,64792.1 
70283.6 ,65769.2 
62306.4 ,67539.5 
70651.6 ,70875.5 
72834.2 ,71866.4 
77428.1 ,72938.9 
72318.8 ,77913.5 
76244.1 ,76899.1 
80458.4 ,79769.6 
87223.8 ,81663.0 
75624.3 ,81480.8 
81983.0 ,82690.1 
85735.7 ,85297.4 
94255.1 ,88129.8 
82997.7 ,89112.7 
90411.8 ,90737.9 
94229.2 ,93948.3 
101347.1 ,95187.0 
91567.7 ,98370.1 
100276.0 ,100083.1 
102412.4 ,102204.9 
110568.8 ,104166.9 
98945.8 ,105872.2 
107529.8 ,106963.6 
107095.2 ,106991.3 
114593.2 ,108336.9 
103211.7 ,110175.7 
113863.9 ,112969.8 
115026.7 ,115058.2 
123161.9 ,117060.5 
112772.8 ,120132.1 
123071.7 ,122111.5 
124043.0 ,124087.8 
135311.9 ,128868.0 
123105.2 ,131381.9 
134693.2 ,133678.8 
136465.5 ,136220.8 
145160.0 ,138142.5 
132132.5 ,141217.6 
144395.4 ,143293.3 
146014.7 ,145555.2 
155643.9 ,148120.3 
139408.0 ,149086.5 
154630.6 ,153388.2 
155632.0 ,154859.1 
161858.3 ,154195.0 
134483.0 ,143458.7 
143315.9 ,141995.6 
144597.5 ,143802.8 
154190.4 ,147329.6 
143085.9 ,151789.1 
159428.8 ,157981.5 
161775.8 ,161655.3 
174167.5 ,167032.1 
161106.9 ,170347.5 
174123.3 ,172512.7 
176763.9 ,176831.7 
182634.0 ,174936.3 
167931.1 ,177444.3 
181326.1 ,179785.9 
181927.4 ,182279.4 
191044.4 ,182719.3 
179041.6 ,189042.3 
194030.2 ,192481.2 
194267.2 ,195116.0 
206529.5 ,197228.9 
185318.0 ,195885.7 
197580.1 ,196095.5 
198061.8 ,199152.7 
214598.4 ,204424.3 
194923.1 ,206124.1 
209329.2 ,207738.7 
207578.0 ,208545.8 
220475.0 ,209896.7 
200216.6 ,211629.0 
216347.1 ,214774.5 
216983.1 ,218100.1 
231694.1 ,220737.3 
212469.3 ,224316.5 
227415.6 ,225687.8 
227901.3 ,229060.8 
242262.8 ,230983.9 
221931.1 ,234221.6 
239458.0 ,237634.4 
239125.1 ,240294.3 
256000.3 ,244364.2 
234178.9 ,246620.2 
249890.2 ,247546.2 
246962.3 ,247838.0 
247467.5 ,236494.4 
224359.5 ,236655.9 
244708.4 ,242650.1 
249519.6 ,250829.3 
263037.6 ,251489.8 
243822.5 ,256919.3 
263190.1 ,260565.7 
260745.7 ,262113.4 
275908.0 ,264067.8 
254248.0 ,267525.7 
272362.0 ,269701.7 
270256.1 ,271917.4 
285229.4 ,272950.8 
261480.4 ,275182.1 
278883.6 ,276005.7 
274484.4 ,276120.2 
289366.3 ,276906.7 
265291.2 ,279223.0 
285312.3 ,282344.9 
283595.0 ,285348.5 
300654.7 ,287979.3 
